Entrez Gene ID	Symbol	MGI ID	Smad1/5 peaks minimal p-value in -8k~+3k	Smad4 peaks minimal p-value in -8k~+3k
239336	Rxfp3	MGI:2441827		9.91E-07
18089	Nkx2-3	MGI:97348		1.00E-06
320683	Zfp629	MGI:2444524		1.00E-06
24050	Sept3	MGI:1345148		1.05E-06
22635	Zan	MGI:106656		1.05E-06
11785	Apbb1	MGI:107765		1.05E-06
108147	Atic	MGI:1351352		1.05E-06
241201	Cdh7	MGI:2442792		1.05E-06
60315	Myg1	MGI:1929864		1.05E-06
21752	Tert	MGI:1202709		1.05E-06
70237	Bhlhb9	MGI:1917487		1.06E-06
170718	Idh3b	MGI:2158650		1.06E-06
18483	Palm	MGI:1261814		1.06E-06
75599	Pcdh1	MGI:104692		1.06E-06
114602	Zmynd10	MGI:2387863		1.40E-06
104394	E2f4	MGI:103012	1.56E-15	1.44E-06
93685	Entpd7	MGI:2135885		1.59E-06
16906	Lmnb1	MGI:96795		1.59E-06
56012	Pgam2	MGI:1933118		1.74E-06
233895	Prr14	MGI:2384565		1.87E-06
17898	Myl7	MGI:107495		1.93E-06
74098	0610037L13Rik	MGI:1921348		1.97E-06
320541	A530082C11Rik	MGI:2444240		1.97E-06
67203	Nde1	MGI:1914453		1.97E-06
72219	1700013B16Rik	MGI:1919469		2.05E-06
268567	6330442E10Rik	MGI:2444389		2.05E-06
11941	Atp2b2	MGI:105368		2.05E-06
72195	Supt7l	MGI:1919445		2.05E-06
68268	Zdhhc21	MGI:1915518		2.05E-06
170759	Atp13a1	MGI:2180801		2.11E-06
56315	Rhcg	MGI:1888517	4.58E-04	2.34E-06
11928	Atp1a1	MGI:88105		2.34E-06
54419	Cldn6	MGI:1859284		2.34E-06
18858	Pmp22	MGI:97631		2.34E-06
101568	Vrk3	MGI:2182465		2.34E-06
20379	Sfrp4	MGI:892010	4.26E-12	2.40E-06
67418	Ppil4	MGI:1914668		2.40E-06
56551	Txn2	MGI:1929468	2.76E-04	2.41E-06
106014	Fam19a5	MGI:2146182		2.73E-06
320139	Ptpn7	MGI:2156893		2.73E-06
27407	Abcf2	MGI:1351657		2.78E-06
208258	Ankrd33	MGI:2443398		2.78E-06
215051	Bud13	MGI:2443443		2.78E-06
235604	Camkv	MGI:2384296		2.78E-06
239096	Cdh24	MGI:1928330		2.78E-06
26886	Cenph	MGI:1349448		2.78E-06
20115	Rps7	MGI:1333818		2.78E-06
107769	Tm6sf1	MGI:1933209		2.78E-06
12193	Zfp36l2	MGI:107945		2.78E-06
59053	Brp16	MGI:1930628		2.85E-06
19822	Rnf4	MGI:1201691		2.85E-06
11694	Alx3	MGI:1277097		3.00E-06
15433	Hoxd13	MGI:96205		3.00E-06
56736	Rnf14	MGI:1929668		3.00E-06
230661	Tesk2	MGI:2385204		3.00E-06
106759	Ticam1	MGI:2147032		3.00E-06
73447	Wdr13	MGI:1914661		3.00E-06
20533	Slc4a1	MGI:109393	1.17E-04	3.10E-06
14739	S1pr2	MGI:99569	2.76E-04	3.10E-06
66895	1300014I06Rik	MGI:1914145		3.10E-06
71952	2410016O06Rik	MGI:1919202		3.10E-06
12834	Col6a2	MGI:88460		3.10E-06
15168	Hcn3	MGI:1298211		3.10E-06
50709	Hist1h1e	MGI:1931527		3.10E-06
319179	Hist1h2be	MGI:2448380		3.10E-06
170731	Mfn2	MGI:2442230		3.10E-06
14912	Nkx6-2	MGI:1352738		3.10E-06
243819	Saps1	MGI:2442163		3.10E-06
225115	Svil	MGI:2147319		3.10E-06
22151	Tubb2a	MGI:107861		3.10E-06
22339	Vegfa	MGI:103178		3.10E-06
14281	Fos	MGI:95574	1.46E-08	3.10E-06
268759	9930012K11Rik	MGI:2145726	1.60E-06	3.10E-06
18217	Ntsr2	MGI:108018	3.38E-06	3.10E-06
75758	9130401M01Rik	MGI:1923008		3.10E-06
232975	Atp1a3	MGI:88107		3.10E-06
74343	Crtc2	MGI:1921593		3.10E-06
13549	Dyrk1b	MGI:1330302		3.10E-06
14991	H2-M3	MGI:95915		3.10E-06
210530	Leprel1	MGI:2146663		3.10E-06
17134	Mafg	MGI:96911		3.10E-06
